Index,Fixture,Date,Promotion,Match type,Event
0,Roderick Strong vs. Tomohiro Ishii,07/20/2024,All Elite Wrestling,Singles,AEW Collision #54
1,Darby Allin vs. The Beast Mortos,07/20/2024,All Elite Wrestling,Singles,AEW Collision #54
2,Rey Fenix vs. Tony Nese,07/20/2024,All Elite Wrestling,Singles,AEW Collision #54
3,Deonna Purrazzo vs. Thunder Rosa,07/20/2024,All Elite Wrestling,Lumberjack,AEW Collision #54
4,"Austin Gunn, Colten Gunn & Juice Robinson vs. Christian Cage, Killswitch & Nick Wayne",07/20/2024,All Elite Wrestling,Six Man Tag Team,AEW Collision #54
5,Mercedes Mone vs. Nyla Rose,07/17/2024,All Elite Wrestling,Singles,AEW Dynamite #250
6,Kazuchika Okada vs. Swerve Strickland,07/17/2024,All Elite Wrestling,Singles,AEW Dynamite #250
7,"Kyle O'Reilly, Orange Cassidy & Tomohiro Ishii vs. Matt Taven, Mike Bennett & Roderick Strong",07/17/2024,All Elite Wrestling,Six Man Tag Team,AEW Rampage #154
8,Isiah Kassidy & Marq Quen vs. Penta El Zero Miedo & Rey Fenix,07/17/2024,All Elite Wrestling,Tag Team,AEW Rampage #154
9,MJF vs. Will Ospreay,07/17/2024,All Elite Wrestling,Singles,AEW Dynamite #250
10,Chris Jericho vs. Samoa Joe,07/10/2024,All Elite Wrestling,Street Fight,AEW Dynamite #249
11,Dalton Castle vs. Roderick Strong,07/10/2024,All Elite Wrestling,Singles,AEW Collision #53
12,Anthony Ogogo & Lee Moriarty vs. Dante Martin & Darius Martin,07/10/2024,All Elite Wrestling,Tag Team,AEW Collision #53
13,Harley Cameron vs. Skye Blue,07/10/2024,All Elite Wrestling,Singles,AEW Collision #53
14,Kyle O'Reilly & Orange Cassidy vs. Matt Taven & Mike Bennett,07/10/2024,All Elite Wrestling,Tag Team,AEW Collision #53
15,Adam Page vs. Bryan Danielson,07/10/2024,All Elite Wrestling,Singles,AEW Dynamite #249
16,Claudio Castagnoli vs. Kyle Fletcher vs. PAC vs. Tomohiro Ishii,07/10/2024,All Elite Wrestling,Four Way,AEW Dynamite #249
17,Mariah May vs. Willow Nightingale,07/10/2024,All Elite Wrestling,Singles,AEW Dynamite #249
18,Konosuke Takeshita vs. Tommy Billington,07/10/2024,All Elite Wrestling,Singles,AEW Collision #53
19,Lady Frost vs. Riho,07/06/2024,All Elite Wrestling,Singles,AEW Collision #52
20,Claudio Castagnoli vs. The Beast Mortos,07/06/2024,All Elite Wrestling,Singles,AEW Collision #52
21,Toni Storm vs. Trish Adora,07/06/2024,All Elite Wrestling,Singles,AEW Collision #52
22,"Boulder, Bronson & Jacked Jameson vs. Kyle O'Reilly, Mark Briscoe & Orange Cassidy",07/06/2024,All Elite Wrestling,Six Man Tag Team,AEW Collision #52
23,Ariya Daivari & Tony Nese vs. Brody King & Malakai Black,07/06/2024,All Elite Wrestling,Tag Team,AEW Rampage #153
24,Angelico vs. AR Fox vs. Komander vs. Rey Fenix,07/06/2024,All Elite Wrestling,Four Way,AEW Rampage #153
