Index,Fixture,Date,Promotion,Match type,Event,WON rating
0,The British Bulldog vs. X-Pac,10/02/1999,World Wrestling Federation,Singles,WWF Rebellion 1999 ,
1,Kane vs. The Big Show,10/02/1999,World Wrestling Federation,No Disqualification,WWF Rebellion 1999 ,
2,Ivory vs. Jacqueline vs. Luna vs. Tori,10/02/1999,World Wrestling Federation,Four Way,WWF Rebellion 1999 ,
3,Gangrel vs. The Godfather,10/02/1999,World Wrestling Federation,Singles,WWF Rebellion 1999 ,
4,D-Lo Brown vs. Jeff Jarrett,10/02/1999,World Wrestling Federation,Singles,WWF Rebellion 1999 ,
5,Chris Jericho vs. The Rock,10/04/1999,World Wrestling Federation,Singles,WWF RAW is WAR #332 ,
6,Mankind vs. The British Bulldog,10/05/1999,World Wrestling Federation,Singles,WWF SmackDown #8 ,
7,Christian & Edge vs. Jeff Hardy & Matt Hardy,10/05/1999,World Wrestling Federation,Texas Tornado Tag Team,WWF SmackDown #8 ,
8,Hardcore Holly vs. The Road Dogg,10/05/1999,World Wrestling Federation,Singles,WWF SmackDown #8 ,
9,The Rock vs. Val Venis,10/05/1999,World Wrestling Federation,No Disqualification,WWF SmackDown #8 ,
10,Mankind & The Rock vs. The British Bulldog & Val Venis,10/11/1999,World Wrestling Federation,Tag Team,WWF RAW is WAR #333 ,
11,Chyna & Triple H vs. Jim Ross & Steve Austin,10/11/1999,World Wrestling Federation,Tag Team,WWF RAW is WAR #333 ,
12,Buh Buh Ray Dudley & D-Von Dudley vs. Mideon & Viscera,10/11/1999,World Wrestling Federation,Tag Team,WWF Jakked #8 ,
13,Mankind & The Rock vs. Mr. Ass & The Road Dogg,10/12/1999,World Wrestling Federation,Tag Team,WWF SmackDown #9 ,
14,Christian & Edge vs. Jeff Hardy & Matt Hardy,10/12/1999,World Wrestling Federation,Tag Team,WWF SmackDown #9 ,
15,Chyna vs. Jeff Jarrett,10/17/1999,World Wrestling Federation,Good Housekeeping,WWF No Mercy 1999 ,***1/4
16,Christian & Edge vs. Jeff Hardy & Matt Hardy,10/17/1999,World Wrestling Federation,Tag Team Ladder,WWF No Mercy 1999 ,****1/2
17,Steve Austin vs. Triple H,10/17/1999,World Wrestling Federation,No Holds Barred,WWF No Mercy 1999 ,****
18,Bradshaw vs. Faarooq vs. Kane vs. X-Pac,10/17/1999,World Wrestling Federation,Fatal Four Way Elimination,WWF No Mercy 1999 ,
19,Mankind vs. Val Venis,10/17/1999,World Wrestling Federation,Singles,WWF No Mercy 1999 ,
20,The British Bulldog vs. The Rock,10/17/1999,World Wrestling Federation,Singles,WWF No Mercy 1999 ,
21,Crash Holly & Hardcore Holly vs. Mr. Ass & The Road Dogg,10/17/1999,World Wrestling Federation,Tag Team,WWF No Mercy 1999 ,
22,Mideon vs. The Godfather,10/17/1999,World Wrestling Federation,Singles,WWF No Mercy 1999 ,
23,Crash Holly & Hardcore Holly vs. Mankind & The Rock,10/18/1999,World Wrestling Federation,Tag Team,WWF RAW is WAR #334 ,
24,Bradshaw & Faarooq vs. Mr. Ass & The Road Dogg,10/18/1999,World Wrestling Federation,Tag Team,WWF RAW is WAR #334 ,
25,Chris Jericho vs. D-Lo Brown,10/19/1999,World Wrestling Federation,Singles,WWF Sunday Night Heat #65 ,
26,Mankind vs. The Rock,10/19/1999,World Wrestling Federation,Singles,WWF SmackDown #10 ,
27,Steve Austin vs. Val Venis,10/19/1999,World Wrestling Federation,Singles,WWF SmackDown #10 ,
28,Mr. Ass & The Road Dogg vs. Steve Austin & The Rock,10/25/1999,World Wrestling Federation,Tag Team,WWF RAW is WAR #335 ,
29,Mankind vs. Triple H,10/25/1999,World Wrestling Federation,Singles,WWF RAW is WAR #335 ,
30,Mankind vs. Val Venis,10/26/1999,World Wrestling Federation,Singles,WWF SmackDown #11 ,
31,D-Lo Brown vs. The British Bulldog,10/26/1999,World Wrestling Federation,Singles,WWF SmackDown #11 ,
32,Shane McMahon vs. Triple H,11/01/1999,World Wrestling Federation,Singles,WWF RAW is WAR #336 ,
33,"Brian Christopher, Crash Holly, Hardcore Holly & Scott Taylor vs. Christian, Edge, Jeff Hardy & Matt Hardy",11/01/1999,World Wrestling Federation,Eight Man Tag Team,WWF RAW is WAR #336 ,
34,Mr. Ass vs. Steve Austin,11/01/1999,World Wrestling Federation,Singles,WWF RAW is WAR #336 ,
35,"Kane, Shane McMahon, Steve Austin & The Rock vs. Mr. Ass, The Road Dogg, Triple H & X-Pac",11/02/1999,World Wrestling Federation,Survivor Series Elimination Eight Man Tag Team,WWF SmackDown #12 ,
36,Al Snow & Mankind vs. Crash Holly & Hardcore Holly,11/02/1999,World Wrestling Federation,Tag Team,WWF SmackDown #12 ,
37,Test vs. Triple H,11/08/1999,World Wrestling Federation,Singles,WWF RAW is WAR #337 ,
38,The Rock vs. X-Pac,11/08/1999,World Wrestling Federation,Singles,WWF RAW is WAR #337 ,
39,"Kane, Shane McMahon, Test & The Rock vs. Mr. Ass, The Road Dogg, Triple H & X-Pac",11/09/1999,World Wrestling Federation,Eight Man Tag Team Elimination,WWF SmackDown #13 ,
40,The Big Show vs. The Rock vs. Triple H,11/14/1999,World Wrestling Federation,Triple Threat,WWF Survivor Series 1999 ,
