Index,Fixture,Date,Promotion,Match type,Event,WON rating
0,The Rock vs. Triple H,09/21/1999,World Wrestling Federation,Brahma Bullrope Strap,WWF SmackDown #6 ,
1,Chyna & Triple H vs. Shane McMahon & Test,09/20/1999,World Wrestling Federation,Tag Team,WWF RAW is WAR #330 ,
2,Kane vs. Mankind vs. The Big Show vs. The Rock vs. The Undertaker,09/14/1999,World Wrestling Federation,Five Man Royal Rumble,WWF SmackDown #5 ,
3,Triple H vs. Vince McMahon,09/14/1999,World Wrestling Federation,Singles,WWF SmackDown #5 ,
4,Kane vs. Mankind vs. The Big Show vs. The Rock vs. The Undertaker,09/13/1999,World Wrestling Federation,Five Way,WWF RAW is WAR #329 ,
5,Mankind & The Rock vs. The Big Show & The Undertaker,09/07/1999,World Wrestling Federation,Buried Alive,WWF SmackDown #4 ,
6,Christian & Edge vs. Jeff Hardy & Matt Hardy,09/07/1999,World Wrestling Federation,Tag Team,WWF SmackDown #4 ,
7,Kane vs. Triple H,09/07/1999,World Wrestling Federation,Singles,WWF SmackDown #4 ,
8,Mr. Ass vs. Triple H,09/06/1999,World Wrestling Federation,Singles,WWF RAW is WAR #328 ,
9,Ivory vs. Tori,09/06/1999,World Wrestling Federation,Hardcore,WWF RAW is WAR #328 ,
10,Mankind & The Rock vs. Shane McMahon & Triple H,08/31/1999,World Wrestling Federation,Tag Team,WWF SmackDown #3 ,
11,Bradshaw & Faarooq vs. Christian & Edge vs. Crash Holly & Hardcore Holly vs. Droz & Prince Albert vs. Jeff Hardy & Matt Hardy vs. Mideon & Viscera vs. Stevie Richards & The Blue Meanie,08/31/1999,World Wrestling Federation,Gauntlet Tag Team,WWF SmackDown #3 ,
12,Gangrel vs. Ken Shamrock,08/30/1999,World Wrestling Federation,Singles,WWF RAW is WAR #327 ,
13,Mankind & The Rock vs. The Big Show & The Undertaker,08/30/1999,World Wrestling Federation,Tag Team,WWF RAW is WAR #327 ,
14,The Rock vs. Triple H,08/24/1999,World Wrestling Federation,Singles,WWF SmackDown #2 ,
15,Mankind vs. Shane McMahon,08/24/1999,World Wrestling Federation,Singles,WWF SmackDown #2 ,
16,Ken Shamrock vs. Prince Albert,08/23/1999,World Wrestling Federation,Singles,WWF Jakked #1 ,
17,Mankind vs. Triple H,08/23/1999,World Wrestling Federation,Singles,WWF RAW is WAR #326 ,
18,D-Lo Brown vs. Jeff Jarrett,08/22/1999,World Wrestling Federation,Singles,"WWF SummerSlam 1999 - ""An Out Of Body Experience"" ",
19,Bradshaw & Faarooq vs. Christian & Edge vs. Crash Holly & Hardcore Holly vs. Droz & Prince Albert vs. Jeff Hardy & Matt Hardy vs. Mideon & Viscera,08/22/1999,World Wrestling Federation,Tag Team Turmoil,"WWF SummerSlam 1999 - ""An Out Of Body Experience"" ",
20,Al Snow vs. The Big Bossman,08/22/1999,World Wrestling Federation,Singles,"WWF SummerSlam 1999 - ""An Out Of Body Experience"" ",
21,Ken Shamrock vs. Steve Blackman,08/22/1999,World Wrestling Federation,Lion's Den Weapons,"WWF SummerSlam 1999 - ""An Out Of Body Experience"" ",
22,Kane & X-Pac vs. The Big Show & The Undertaker,08/22/1999,World Wrestling Federation,Tag Team,"WWF SummerSlam 1999 - ""An Out Of Body Experience"" ",
23,Mr. Ass vs. The Rock,08/22/1999,World Wrestling Federation,Kiss My Ass,"WWF SummerSlam 1999 - ""An Out Of Body Experience"" ",
24,Mankind vs. Steve Austin vs. Triple H,08/22/1999,World Wrestling Federation,Triple Threat,"WWF SummerSlam 1999 - ""An Out Of Body Experience"" ",
25,Shane McMahon vs. Test,08/22/1999,World Wrestling Federation,Street Fight,"WWF SummerSlam 1999 - ""An Out Of Body Experience"" ",***1/2
26,Mankind vs. Triple H,08/10/1999,World Wrestling Federation,Falls Count Anywhere,WWF RAW is WAR #325 ,
27,Bradshaw & Faarooq vs. Kane & X-Pac,08/10/1999,World Wrestling Federation,Tag Team,WWF RAW is WAR #325 ,
28,Chyna vs. The Undertaker vs. Triple H,08/09/1999,World Wrestling Federation,Triple Threat,WWF RAW is WAR #324 ,
29,Edge vs. Gangrel,07/27/1999,World Wrestling Federation,Bloodbath,WWF RAW is WAR #323 ,
30,Kane & The Road Dogg vs. The Big Show & The Undertaker,07/27/1999,World Wrestling Federation,Tag Team,WWF RAW is WAR #323 ,
31,D-Lo Brown vs. Jeff Jarrett,07/27/1999,World Wrestling Federation,Singles,WWF RAW is WAR #323 ,
32,Chyna & Mr. Ass vs. The Rock,07/26/1999,World Wrestling Federation,Two On One Handicap,WWF RAW is WAR #322 ,
33,Al Snow vs. The Big Bossman,07/25/1999,World Wrestling Federation,Singles,WWF Fully Loaded 1999 ,
34,Kane vs. The Big Show,07/25/1999,World Wrestling Federation,Singles,WWF Fully Loaded 1999 ,
35,Edge vs. Jeff Jarrett,07/25/1999,World Wrestling Federation,Singles,WWF Fully Loaded 1999 ,
36,"Bradshaw & Faarooq vs. Jeff Hardy, Matt Hardy & Michael Hayes",07/25/1999,World Wrestling Federation,Three On Two Handicap No Disqualification,WWF Fully Loaded 1999 ,
37,D-Lo Brown vs. Mideon,07/25/1999,World Wrestling Federation,Singles,WWF Fully Loaded 1999 ,
38,Chyna & Mr. Ass vs. The Road Dogg & X-Pac,07/25/1999,World Wrestling Federation,Tag Team,WWF Fully Loaded 1999 ,
39,The Rock vs. Triple H,07/25/1999,World Wrestling Federation,Strap,WWF Fully Loaded 1999 ,***1/4
40,Steve Austin vs. The Undertaker,07/25/1999,World Wrestling Federation,First Blood,WWF Fully Loaded 1999 ,***3/4
41,Mr. Ass vs. The Rock,07/13/1999,World Wrestling Federation,Singles,WWF RAW is WAR #321 ,
42,Edge vs. Gangrel,07/12/1999,World Wrestling Federation,Singles,WWF RAW is WAR #320 ,
43,"Chyna, Mr. Ass & Triple H vs. The Road Dogg, The Rock & X-Pac",07/12/1999,World Wrestling Federation,Six Man Tag Team,WWF RAW is WAR #320 ,
44,Kane & The Undertaker vs. Steve Austin & The Big Show,07/12/1999,World Wrestling Federation,Tag Team,WWF RAW is WAR #320 ,
45,The Rock vs. Triple H,06/29/1999,World Wrestling Federation,Steel Cage,WWF RAW is WAR #319 ,
46,Al Snow vs. D-Lo Brown,06/29/1999,World Wrestling Federation,Singles,WWF RAW is WAR #319 ,
47,Jeff Jarrett vs. X-Pac,06/28/1999,World Wrestling Federation,Singles,WWF RAW is WAR #318 ,
48,Steve Austin vs. The Undertaker,06/28/1999,World Wrestling Federation,Singles,WWF RAW is WAR #318 ,
49,Shane McMahon & Vince McMahon vs. Steve Austin,06/27/1999,World Wrestling Federation,Two On One Handicap Ladder,WWF King Of The Ring 1999 ,
50,The Rock vs. The Undertaker,06/27/1999,World Wrestling Federation,Singles,WWF King Of The Ring 1999 ,
51,Kane vs. The Big Show,06/27/1999,World Wrestling Federation,Singles,WWF King Of The Ring 1999 ,
52,Chyna vs. The Road Dogg,06/27/1999,World Wrestling Federation,Singles,WWF King Of The Ring 1999 ,
53,Kane vs. Mr. Ass,06/27/1999,World Wrestling Federation,Singles,WWF King Of The Ring 1999 ,
