Index,Fixture,Date,Promotion,Match type,Event
0,Callum Newman vs. SANADA,07/21/2024,New Japan Pro Wrestling,Singles,NJPW G1 Climax 34 - Tag 2
1,HENARE vs. Oleg Boltin,07/21/2024,New Japan Pro Wrestling,Singles,NJPW G1 Climax 34 - Tag 2
2,Gabe Kidd vs. Great-O-Khan,07/21/2024,New Japan Pro Wrestling,Singles,NJPW G1 Climax 34 - Tag 2
3,EVIL vs. Jake Lee,07/21/2024,New Japan Pro Wrestling,Singles,NJPW G1 Climax 34 - Tag 2
4,Hirooki Goto vs. Yuya Uemura,07/21/2024,New Japan Pro Wrestling,Singles,NJPW G1 Climax 34 - Tag 2
5,Shingo Takagi vs. Shota Umino,07/21/2024,New Japan Pro Wrestling,Singles,NJPW G1 Climax 34 - Tag 2
6,Tetsuya Naito vs. Zack Sabre Jr.,07/21/2024,New Japan Pro Wrestling,Singles,NJPW G1 Climax 34 - Tag 2
7,El Phantasmo vs. Ren Narita,07/21/2024,New Japan Pro Wrestling,Singles,NJPW G1 Climax 34 - Tag 2
8,David Finlay vs. Yota Tsuji,07/21/2024,New Japan Pro Wrestling,Singles,NJPW G1 Climax 34 - Tag 2
9,Oleg Boltin vs. Ren Narita,07/20/2024,New Japan Pro Wrestling,Singles,NJPW G1 Climax 34 - Tag 1
10,Konosuke Takeshita vs. Yota Tsuji,07/20/2024,New Japan Pro Wrestling,Singles,NJPW G1 Climax 34 - Tag 1
11,Callum Newman vs. Shota Umino,07/20/2024,New Japan Pro Wrestling,Singles,NJPW G1 Climax 34 - Tag 1
12,EVIL vs. Gabe Kidd,07/20/2024,New Japan Pro Wrestling,Singles,NJPW G1 Climax 34 - Tag 1
13,El Phantasmo vs. HENARE,07/20/2024,New Japan Pro Wrestling,Singles,NJPW G1 Climax 34 - Tag 1
14,Great-O-Khan vs. Zack Sabre Jr.,07/20/2024,New Japan Pro Wrestling,Singles,NJPW G1 Climax 34 - Tag 1
15,Shingo Takagi vs. Tetsuya Naito,07/20/2024,New Japan Pro Wrestling,Singles,NJPW G1 Climax 34 - Tag 1
16,Hirooki Goto vs. Jeff Cobb,07/20/2024,New Japan Pro Wrestling,Singles,NJPW G1 Climax 34 - Tag 1
17,David Finlay vs. Yuya Uemura,07/20/2024,New Japan Pro Wrestling,Singles,NJPW G1 Climax 34 - Tag 1
18,Gabe Kidd vs. Ultimo Guerrero,07/13/2024,New Japan Pro Wrestling,Singles,NJPW Presents CMLL Fantastica Mania 2024 - Lucha Libre USA
19,Lluvia vs. Viva Van vs. Willow Nightingale,07/13/2024,New Japan Pro Wrestling,Three Way,NJPW Presents CMLL Fantastica Mania 2024 - Lucha Libre USA
20,Bad Dude Tito & Zack Sabre Jr. vs. Hechicero & Virus,07/13/2024,New Japan Pro Wrestling,Tag Team,NJPW Presents CMLL Fantastica Mania 2024 - Lucha Libre USA
21,El Barbaro Cavernario vs. Yota Tsuji,07/13/2024,New Japan Pro Wrestling,Singles,NJPW Presents CMLL Fantastica Mania 2024 - Lucha Libre USA
22,Magnus & Rugido vs. Okumura & Satoshi Kojima,07/13/2024,New Japan Pro Wrestling,Tag Team,NJPW Presents CMLL Fantastica Mania 2024 - Lucha Libre USA
23,DOUKI & Mistico vs. Rocky Romero & Volador Jr.,07/13/2024,New Japan Pro Wrestling,Tag Team,NJPW Presents CMLL Fantastica Mania 2024 - Lucha Libre USA
24,Gedo & KENTA vs. Kosei Fujita & Zack Sabre Jr.,07/05/2024,New Japan Pro Wrestling,Tag Team,NJPW New Japan Soul 2024 - Tag 7
25,"Francesco Akira, Great-O-Khan & TJP vs. SANADA, TAKA Michinoku & Yuya Uemura",07/05/2024,New Japan Pro Wrestling,Six Man Tag Team,NJPW New Japan Soul 2024 - Tag 7
