,Match,Date,Promotion,Match Type,Event,Par1,Par2,Par3,Par4,Par5,Par6,Par7,Par8
0,The Rock vs. Triple H,09/21/1999,World Wrestling Federation,Brahma Bullrope Strap,WWF SmackDown #6,The Rock,Triple H,n/a,n/a,n/a,n/a,n/a,n/a
1,Chyna & Triple H vs. Shane McMahon & Test,09/20/1999,World Wrestling Federation,Tag Team,WWF RAW is WAR #330,Chyna,Triple H,Shane McMahon,Test,n/a,n/a,n/a,n/a
2,Kane vs. Mankind vs. The Big Show vs. The Rock vs. The Undertaker,09/14/1999,World Wrestling Federation,Five Man Royal Rumble,WWF SmackDown #5,Kane,Mankind,The Big Show,The Rock,The Undertaker,n/a,n/a,n/a
3,Triple H vs. Vince McMahon,09/14/1999,World Wrestling Federation,Singles,WWF SmackDown #5,Triple H,Vince McMahon,n/a,n/a,n/a,n/a,n/a,n/a
4,Kane vs. Mankind vs. The Big Show vs. The Rock vs. The Undertaker,09/13/1999,World Wrestling Federation,Five Way,WWF RAW is WAR #329,Kane,Mankind,The Big Show,The Rock,The Undertaker,n/a,n/a,n/a
5,Mankind & The Rock vs. The Big Show & The Undertaker,09/07/1999,World Wrestling Federation,Buried Alive,WWF SmackDown #4,Mankind,The Rock,The Big Show,The Undertaker,n/a,n/a,n/a,n/a
6,Christian & Edge vs. Jeff Hardy & Matt Hardy,09/07/1999,World Wrestling Federation,Tag Team,WWF SmackDown #4,Christian,Edge,Jeff Hardy,Matt Hardy,n/a,n/a,n/a,n/a
7,Kane vs. Triple H,09/07/1999,World Wrestling Federation,Singles,WWF SmackDown #4,Kane,Triple H,n/a,n/a,n/a,n/a,n/a,n/a
8,Mr. Ass vs. Triple H,09/06/1999,World Wrestling Federation,Singles,WWF RAW is WAR #328,Mr. Ass,Triple H,n/a,n/a,n/a,n/a,n/a,n/a
9,Ivory vs. Tori,09/06/1999,World Wrestling Federation,Hardcore,WWF RAW is WAR #328,Ivory,Tori,n/a,n/a,n/a,n/a,n/a,n/a
10,Mankind & The Rock vs. Shane McMahon & Triple H,08/31/1999,World Wrestling Federation,Tag Team,WWF SmackDown #3,Mankind,The Rock,Shane McMahon,Triple H,n/a,n/a,n/a,n/a
11,Gangrel vs. Ken Shamrock,08/30/1999,World Wrestling Federation,Singles,WWF RAW is WAR #327,Gangrel,Ken Shamrock,n/a,n/a,n/a,n/a,n/a,n/a
12,Mankind & The Rock vs. The Big Show & The Undertaker,08/30/1999,World Wrestling Federation,Tag Team,WWF RAW is WAR #327,Mankind,The Rock,The Big Show,The Undertaker,n/a,n/a,n/a,n/a
13,The Rock vs. Triple H,08/24/1999,World Wrestling Federation,Singles,WWF SmackDown #2,The Rock,Triple H,n/a,n/a,n/a,n/a,n/a,n/a
14,Mankind vs. Shane McMahon,08/24/1999,World Wrestling Federation,Singles,WWF SmackDown #2,Mankind,Shane McMahon,n/a,n/a,n/a,n/a,n/a,n/a
15,Ken Shamrock vs. Prince Albert,08/23/1999,World Wrestling Federation,Singles,WWF Jakked #1,Ken Shamrock,Prince Albert,n/a,n/a,n/a,n/a,n/a,n/a
16,Mankind vs. Triple H,08/23/1999,World Wrestling Federation,Singles,WWF RAW is WAR #326,Mankind,Triple H,n/a,n/a,n/a,n/a,n/a,n/a
